epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.41581,2.08934,5.08617,3.51758,1.90054,0.00792,0.54942,0.02465,0.01066,0.00888,0.5843,0.0217,0.00981,1.1604,2.56014,3.42928,1.42809,1.667e-05,1.667e-05,1.667e-05
2,10.1091,1.74525,4.00116,3.43822,1.7154,0.00921,0.62597,0.02992,0.01411,0.00882,0.55426,0.02682,0.01236,1.14107,2.48111,3.40365,1.38567,4.9845e-05,4.9845e-05,4.9845e-05
3,15.0266,2.05348,4.58997,3.39604,1.99358,0.00986,0.64922,0.04607,0.02087,0.00951,0.60756,0.04454,0.022,1.13065,2.39015,3.37454,1.34645,8.27999e-05,8.27999e-05,8.27999e-05
4,19.5644,1.76845,3.89924,3.52852,1.83453,0.0099,0.61919,0.05471,0.02886,0.01024,0.66085,0.05725,0.02899,1.132,2.40235,3.31859,1.32945,0.000115535,0.000115535,0.000115535
5,24.2005,2.04545,4.23979,3.38039,1.93784,0.01058,0.67248,0.07192,0.03765,0.01024,0.63081,0.06653,0.03535,1.10684,2.48063,3.28371,1.2868,0.00014805,0.00014805,0.00014805
6,28.7772,1.60432,3.40515,3.30585,1.63818,0.01031,0.66085,0.0854,0.04652,0.00998,0.64922,0.09141,0.04244,1.13594,2.58798,3.25836,1.29608,0.000180344,0.000180344,0.000180344
7,33.3678,1.66307,3.56427,3.29067,1.72284,0.01132,0.72578,0.11692,0.0491,0.01065,0.64244,0.12451,0.04672,1.15733,2.75458,3.23129,1.29678,0.000212419,0.000212419,0.000212419
8,38.0792,1.75961,4.2007,3.05021,1.87748,0.01109,0.68411,0.1284,0.05803,0.01009,0.61919,0.12657,0.04792,1.17204,2.90791,3.21347,1.30053,0.000244274,0.000244274,0.000244274
9,42.6568,1.90645,3.93865,3.23949,1.85608,0.01077,0.64244,0.12892,0.05985,0.01043,0.63081,0.12835,0.04494,1.20527,3.04594,3.22066,1.33557,0.000275909,0.000275909,0.000275909
10,47.4226,1.96997,4.32996,3.19037,2.01491,0.01086,0.64244,0.10052,0.05247,0.01089,0.6124,0.10261,0.04646,1.22202,3.09729,3.20737,1.33796,0.000307323,0.000307323,0.000307323
11,52.1762,1.96716,3.96982,3.05733,1.85897,0.01239,0.71899,0.10734,0.05759,0.01177,0.63566,0.10923,0.05485,1.24225,3.14355,3.1767,1.31878,0.000338518,0.000338518,0.000338518
12,57.0523,2.02427,4.2156,2.89241,1.89078,0.01239,0.71899,0.10734,0.05759,0.01177,0.63566,0.10923,0.05485,1.24225,3.14355,3.1767,1.31878,0.000369492,0.000369492,0.000369492
13,62.0946,1.75004,3.44782,2.84663,1.55677,0.01224,0.71899,0.13105,0.07036,0.01262,0.70058,0.12887,0.07404,1.32854,2.99162,3.10845,1.34253,0.000400247,0.000400247,0.000400247
14,67.115,2.19312,4.1906,3.08756,1.92097,0.01426,0.75904,0.15573,0.07881,0.01312,0.68895,0.15035,0.09136,1.38344,2.82527,3.05969,1.39306,0.000430781,0.000430781,0.000430781
15,71.819,1.68969,3.0425,2.47811,1.55805,0.01426,0.75904,0.15573,0.07881,0.01312,0.68895,0.15035,0.09136,1.38344,2.82527,3.05969,1.39306,0.000461096,0.000461096,0.000461096
16,76.4131,1.97297,3.9352,2.936,1.79549,0.35027,0.12704,0.17264,0.0894,0.35027,0.12704,0.16751,0.09809,1.36537,2.80056,2.98811,1.43164,0.00049119,0.00049119,0.00049119
17,81.1547,1.93263,3.74937,2.79177,1.74831,0.36746,0.12306,0.16316,0.08856,0.36746,0.12306,0.16759,0.09104,1.29597,2.90875,2.9526,1.42122,0.000521064,0.000521064,0.000521064
