Image Path,Total Motors,Small Motors,Large Motors,Small Motor %,Large Motor %,Image Type
data/raw/old/Motor_Small motor_011.jpg,18,16,2,88.9,11.1,Mixed motors
data/raw/old/Motor_Small motor_010.jpg,13,11,2,84.6,15.4,Mixed motors
data/raw/old/Motor_Small motor_014.jpg,10,9,1,90.0,10.0,Mixed motors
data/raw/old/Motor_Small motor_015.jpg,9,3,6,33.3,66.7,Mixed motors
data/raw/old/Shredded material_Zorba large_004.jpg,4,4,0,100.0,0.0,Mixed motors
data/raw/old/Shredded material_Zorba large_005.jpg,0,0,0,0.0,0.0,No motors detected (likely single/blurry)
data/raw/old/Shredded material_Zorba large_007.jpg,9,9,0,100.0,0.0,Mixed motors
data/raw/old/Shredded material_Zorba large_006.jpg,4,4,0,100.0,0.0,Mixed motors
data/raw/old/Motor_Small Motor_041.jpg,4,3,1,75.0,25.0,Mixed motors
data/raw/old/Shredded material_Zorba large_002.jpg,0,0,0,0.0,0.0,No motors detected (likely single/blurry)
data/raw/old/Shredded material_Zorba large_003.jpg,8,8,0,100.0,0.0,Mixed motors
data/raw/old/Shredded material_Zorba large_001.jpg,1,1,0,100.0,0.0,Single motor
data/raw/old/Motor_Small motor_018.jpg,3,1,2,33.3,66.7,Mixed motors
data/raw/old/Motor_Small motor_019.jpg,1,0,1,0.0,100.0,Single motor
data/raw/old/Motor_Small motor_031.jpg,8,4,4,50.0,50.0,Mixed motors
data/raw/old/Motor_Small motor_009.jpg,6,3,3,50.0,50.0,Mixed motors
data/raw/old/Motor_Small motor_021.jpg,10,8,2,80.0,20.0,Mixed motors
data/raw/old/Motor_Small motor_035.jpg,6,5,1,83.3,16.7,Mixed motors
data/raw/old/Motor_Small motor_034.jpg,5,4,1,80.0,20.0,Mixed motors
data/raw/old/Motor_Small motor_008.jpg,13,9,4,69.2,30.8,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_054_jpg.rf.af61500f1c4d315abf2f240f250e4b99.jpg,1,1,0,100.0,0.0,Single motor
data/raw/new/Small motor/Motor_Small-motor_058_jpg.rf.3a2b16e982a62e1707069b5556dbb190.jpg,10,9,1,90.0,10.0,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_086_jpg.rf.f1b61069600a67d5c7ce0ff4a912d011.jpg,1,1,0,100.0,0.0,Single motor
data/raw/new/Small motor/Motor_Small-motor_052_jpg.rf.827e70295d7b830d10775fd1f9dc2f7a.jpg,6,6,0,100.0,0.0,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_011_jpg.rf.658b6b9c307ef37945144b5603d17f63.jpg,10,9,1,90.0,10.0,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_075_jpg.rf.751c1dde44d55148c57ba2934bed390c.jpg,0,0,0,0.0,0.0,No motors detected (likely single/blurry)
data/raw/new/Small motor/Motor_Small-motor_074_jpg.rf.537081b30dfcf1f59cfdc103366c45c3.jpg,0,0,0,0.0,0.0,No motors detected (likely single/blurry)
data/raw/new/Small motor/Motor_Small-motor_015_jpg.rf.78f310ea320f0e96de4d55667acefe00.jpg,6,2,4,33.3,66.7,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_053_jpg.rf.c30a7b3104cf2979dbfab206f466cf44.jpg,3,2,1,66.7,33.3,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_062_jpg.rf.48d623049c54e808b24ca38431785872.jpg,2,2,0,100.0,0.0,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_076_jpg.rf.8fde56650f86087de0c80d7d0e24961e.jpg,1,1,0,100.0,0.0,Single motor
